,Gender,Parental_Status,Mother_Education,Father_Education,Weekly_Study_Time,Extra_Educational_Support,Parental_Educational_Support,Private_Tutoring,Extracurricular_Activities,Desire_Graduate_Education,Good_Family_Relationship,Alcohol_Weekdays,Alcohol_Weekends,Average_Grade,Pass_Fail,School_Absence_BoxCox
0,0,1,5,5,2,1,0,0,0,1,4,1,1,5.5,0,1.4824465839849927
1,0,0,2,2,2,0,1,0,0,1,5,1,1,10.0,1,1.0384122836116765
2,0,0,2,2,2,1,0,0,0,1,4,2,3,12.5,1,1.7623497500683765
3,0,0,5,3,3,0,1,0,1,1,3,1,1,14.0,1,0.0
4,0,0,4,4,2,0,1,0,0,1,4,1,2,12.0,1,0.0
5,1,0,5,4,2,0,1,0,1,1,5,1,2,12.0,1,1.7623497500683765
6,1,0,3,3,2,0,0,0,0,1,4,1,1,12.5,1,0.0
7,0,1,5,5,2,1,1,0,0,1,4,1,1,11.5,1,1.0384122836116765
8,1,1,4,3,2,0,1,0,0,1,4,1,1,15.5,1,0.0
9,1,0,4,5,2,0,1,0,1,1,5,1,1,12.0,1,0.0
10,0,0,5,5,2,0,1,0,0,1,3,1,2,14.0,1,1.0384122836116765
11,0,0,3,2,3,0,1,0,1,1,5,1,1,11.0,1,0.0
12,1,0,5,5,1,0,1,0,1,1,4,1,3,12.5,1,0.0
13,1,0,5,4,2,0,1,0,0,1,5,1,2,12.0,1,0.0
14,1,1,3,3,3,0,1,0,0,1,4,1,1,14.0,1,0.0
15,0,0,5,5,1,0,1,0,0,1,4,1,2,17.0,1,1.7623497500683765
16,0,0,5,5,3,0,1,0,1,1,3,1,2,13.0,1,2.1233164900445316
17,0,0,4,4,2,1,1,0,1,1,5,1,1,13.5,1,1.0384122836116765
18,1,0,4,3,1,0,1,1,1,1,5,2,4,8.0,0,1.0384122836116765
19,1,0,5,4,1,0,0,0,1,1,3,1,3,12.0,1,1.7623497500683765
20,1,0,5,4,2,0,0,0,0,1,4,1,1,12.5,1,0.0
21,1,0,5,5,1,0,1,1,0,1,5,1,1,11.5,1,0.0
22,1,0,5,3,2,0,0,0,1,1,4,1,3,12.5,1,0.0
23,1,0,3,3,2,0,1,0,1,1,5,2,4,10.0,1,1.0384122836116765
24,0,0,3,5,3,1,1,0,1,1,4,1,1,10.5,1,1.0384122836116765
25,0,0,3,3,1,0,1,0,0,1,1,1,3,10.5,1,1.7623497500683765
26,1,0,3,3,1,0,1,0,0,1,4,1,2,11.5,1,1.965139668590525
27,1,0,5,3,1,0,0,0,0,1,2,2,4,11.0,1,0.0
28,1,1,4,5,2,1,1,1,1,1,5,1,1,12.0,1,1.0384122836116765
29,1,0,5,5,2,0,1,1,1,1,4,5,5,11.5,1,1.4824465839849927
30,1,0,5,5,2,0,1,1,0,1,5,3,4,10.5,1,0.0
31,1,0,5,5,2,0,1,0,1,1,4,1,1,15.0,1,1.0384122836116765
32,1,0,5,4,2,0,1,0,1,1,4,1,1,13.5,1,0.0
33,1,0,4,4,2,0,0,0,1,1,5,1,1,12.5,1,0.0
34,1,0,4,3,1,0,1,0,0,1,5,1,1,12.0,1,1.4824465839849927
35,0,0,3,4,1,0,1,0,1,1,3,1,1,11.0,1,1.4824465839849927
36,1,0,5,4,3,0,1,0,1,1,5,1,1,14.0,1,0.0
37,1,1,5,5,3,0,1,0,1,1,2,1,1,13.0,1,1.4824465839849927
38,0,0,4,5,3,1,1,0,1,1,4,1,1,11.5,1,1.0384122836116765
39,0,0,3,3,1,1,1,0,1,1,4,1,1,13.5,1,1.965139668590525
40,0,0,3,3,2,0,1,0,1,1,3,1,2,11.0,1,2.4553565766654044
41,1,0,5,5,1,0,1,0,0,1,5,2,4,10.5,1,1.965139668590525
42,1,0,5,5,2,0,1,0,1,1,4,1,1,14.5,1,0.0
43,1,0,3,3,1,1,1,0,0,1,5,1,1,9.5,0,0.0
44,0,0,3,3,2,1,0,0,1,1,4,2,2,10.5,1,2.3614165159662632
45,0,1,5,4,2,1,1,1,1,1,5,1,1,10.5,1,1.4824465839849927
46,0,1,4,4,2,0,1,0,0,1,2,1,4,12.5,1,1.7623497500683765
47,1,0,5,4,4,0,0,0,1,1,4,1,1,17.0,1,1.0384122836116765
48,1,0,5,3,2,0,1,0,0,1,4,2,2,11.5,1,1.4824465839849927
49,0,0,5,5,2,1,1,0,1,1,4,1,1,12.5,1,1.0384122836116765
50,0,0,3,3,2,0,1,0,0,1,4,2,3,13.5,1,0.0
51,0,0,5,3,2,0,1,0,0,1,4,1,1,15.0,1,0.0
52,1,1,5,3,1,0,0,0,0,1,5,3,4,9.5,0,1.4824465839849927
53,0,0,5,5,1,1,1,0,0,1,3,2,3,12.5,1,0.0
54,0,1,4,4,1,0,0,0,0,1,5,4,4,12.5,1,0.0
55,0,1,3,2,2,0,0,0,1,1,5,1,1,12.5,1,1.0384122836116765
56,0,1,5,4,2,0,1,0,1,1,4,1,1,14.5,1,0.0
57,1,0,5,5,2,0,1,0,1,1,3,1,1,15.0,1,1.965139668590525
58,1,0,2,3,2,1,1,0,1,1,4,1,1,13.5,1,0.0
59,0,0,5,3,2,0,1,1,0,1,4,1,1,15.5,1,1.0384122836116765
60,0,0,5,5,2,0,1,0,1,1,2,2,3,16.5,1,0.0
61,0,0,2,2,1,1,1,0,1,1,5,5,5,10.0,1,0.0
62,0,0,2,3,2,1,0,0,1,1,4,1,1,13.0,1,0.0
63,0,0,5,4,3,1,1,0,1,1,3,2,4,13.5,1,0.0
64,0,0,5,4,2,1,0,0,1,1,4,2,4,12.5,1,0.0
65,0,0,5,4,2,0,1,0,1,1,5,1,2,15.5,1,1.0384122836116765
66,1,1,5,5,4,0,1,0,1,1,1,5,5,11.5,1,0.0
67,0,0,4,2,4,1,1,0,0,1,4,1,2,9.5,0,0.0
68,0,0,3,3,2,1,1,0,0,1,4,1,3,10.5,1,0.0
69,0,0,4,2,4,0,1,0,0,1,4,2,3,15.0,1,1.7623497500683765
70,1,0,4,2,4,0,1,0,0,1,4,1,1,12.0,1,1.0384122836116765
71,1,0,5,3,4,0,0,0,0,1,3,1,1,10.0,1,0.0
72,0,0,2,2,2,1,1,0,0,1,3,2,4,12.0,1,1.0384122836116765
73,1,0,4,2,1,0,0,0,1,1,5,2,2,13.0,1,0.0
74,0,0,4,4,2,1,1,0,1,1,4,2,4,11.0,1,1.4824465839849927
75,1,0,5,4,2,0,1,0,1,1,4,2,3,11.0,1,0.0
77,0,0,3,3,4,0,0,0,0,1,5,1,3,13.0,1,0.6688506272707769
78,1,0,3,2,1,1,1,0,1,0,4,1,1,9.0,0,0.0
79,0,0,4,5,2,0,1,0,0,1,2,1,2,11.5,1,2.3614165159662632
80,1,0,3,4,1,1,1,0,1,1,3,1,3,11.0,1,0.0
81,1,0,3,4,3,1,0,0,0,1,5,1,2,9.5,0,1.0384122836116765
82,0,0,4,3,2,0,1,0,0,1,4,1,1,11.5,1,1.4824465839849927
83,1,0,3,3,2,0,0,1,1,1,5,1,3,12.5,1,1.0384122836116765
84,0,0,2,2,2,0,1,0,1,1,4,2,3,12.5,1,1.0384122836116765
85,0,0,5,5,2,0,0,0,0,1,4,2,3,11.5,1,1.4824465839849927
86,0,0,3,3,2,0,1,0,0,1,4,1,2,12.0,1,1.7623497500683765
87,0,0,5,3,3,0,1,0,1,1,5,1,3,15.0,1,1.4824465839849927
88,1,0,3,3,2,0,0,0,1,1,4,1,1,11.0,1,1.7623497500683765
89,1,1,5,5,2,0,1,0,0,1,4,3,5,9.0,0,1.7623497500683765
90,0,0,4,4,3,0,1,0,0,1,4,1,3,10.0,1,1.0384122836116765
91,0,0,5,4,1,0,0,0,1,1,4,1,3,13.5,1,1.7623497500683765
92,0,0,4,2,2,1,1,0,0,1,3,2,3,12.5,1,0.0
93,0,0,5,3,2,0,1,0,1,1,5,1,1,13.5,1,1.0384122836116765
94,1,0,3,3,4,0,1,0,1,1,4,1,1,11.5,1,1.0384122836116765
95,0,0,2,2,4,1,1,1,1,1,3,1,1,13.0,1,1.4824465839849927
96,1,0,5,4,1,1,1,1,1,1,3,1,1,10.0,1,1.7623497500683765
97,0,0,3,2,2,0,1,0,0,1,4,1,1,12.5,1,0.0
98,0,0,5,5,1,0,0,0,1,1,5,1,2,12.5,1,1.4824465839849927
99,0,0,5,4,3,1,1,0,0,1,5,1,1,12.5,1,1.0384122836116765
100,1,0,5,5,1,1,1,0,1,1,4,5,5,9.0,0,2.2525107095798247
101,1,0,5,5,3,0,1,0,1,1,4,1,1,16.0,1,0.0
102,1,0,5,5,1,0,1,1,1,1,5,1,1,12.5,1,1.0384122836116765
103,0,0,4,3,2,1,1,0,0,1,4,1,1,10.5,1,2.4553565766654044
104,1,1,4,5,2,0,1,0,1,1,5,1,1,16.0,1,0.0
105,0,1,4,4,4,1,0,0,0,1,4,1,1,10.0,1,2.1233164900445316
106,0,0,3,3,4,1,1,0,0,1,5,1,1,10.0,1,1.4824465839849927
107,1,0,4,4,3,0,1,0,1,1,5,1,1,13.5,1,1.4824465839849927
108,1,0,5,5,4,0,1,0,1,1,1,3,5,11.0,1,1.965139668590525
109,0,0,5,5,3,0,1,0,1,1,5,1,1,15.0,1,1.0384122836116765
110,1,1,5,5,1,0,0,0,1,1,5,1,1,13.5,1,1.4824465839849927
111,0,0,4,4,3,1,1,0,1,1,4,1,1,11.0,1,1.4824465839849927
112,0,0,3,3,2,1,0,0,1,1,3,1,1,9.0,0,2.2525107095798247
113,1,0,5,3,1,0,0,0,0,1,3,1,1,17.5,1,2.1233164900445316
114,1,0,3,2,2,0,0,0,1,1,5,1,1,9.5,0,1.4824465839849927
115,1,0,5,5,2,0,1,0,1,1,5,1,2,15.0,1,1.7623497500683765
116,1,0,5,5,2,0,1,0,1,1,4,1,1,15.5,1,1.4824465839849927
117,1,0,4,4,1,0,0,0,1,1,5,1,1,14.0,1,1.7623497500683765
118,1,0,2,4,2,0,1,0,1,1,5,1,4,11.5,1,2.3614165159662632
119,1,0,4,5,1,0,0,0,0,1,3,1,2,13.5,1,1.0384122836116765
120,0,0,2,3,2,0,0,0,0,1,3,1,2,14.0,1,0.0
121,1,0,3,3,4,0,1,0,1,1,5,1,2,13.5,1,1.7623497500683765
122,0,0,3,5,2,0,1,0,1,1,4,1,2,13.0,1,1.0384122836116765
123,1,0,5,5,1,0,1,0,1,1,3,1,4,12.5,1,1.4824465839849927
124,0,0,3,3,2,0,0,0,0,1,5,1,1,11.5,1,0.0
125,1,0,4,5,1,1,0,0,0,1,5,3,2,9.0,0,1.0384122836116765
126,0,1,4,5,2,1,0,0,1,1,5,1,1,10.5,1,0.0
128,1,0,5,5,1,0,0,0,1,1,3,2,5,14.0,1,1.965139668590525
129,1,0,3,4,3,0,1,0,0,1,3,2,2,12.5,1,1.4824465839849927
130,0,0,4,5,3,0,1,0,0,1,4,2,2,10.5,1,0.0
131,0,0,3,2,2,0,1,0,1,0,5,1,3,9.5,0,2.1233164900445316
132,0,1,3,2,1,0,1,0,0,1,3,1,2,10.5,1,1.965139668590525
133,0,0,2,2,1,0,1,0,1,1,4,1,2,11.5,1,1.7623497500683765
134,0,0,3,3,1,0,1,0,0,1,3,1,3,12.5,1,1.0384122836116765
135,0,1,4,5,1,0,0,0,0,1,3,1,4,14.0,1,2.2525107095798247
136,1,0,3,2,1,0,0,0,0,1,3,1,1,9.0,0,1.4824465839849927
137,0,1,3,3,1,0,0,0,0,1,5,1,1,12.0,1,2.2525107095798247
138,1,0,4,5,2,0,1,0,0,1,5,1,1,11.5,1,1.0384122836116765
139,0,0,5,5,3,0,1,0,1,1,4,1,1,13.5,1,1.4824465839849927
140,1,0,4,5,2,0,0,0,0,1,5,2,4,9.5,0,1.0384122836116765
141,0,0,2,2,2,0,1,0,0,1,5,1,1,13.5,1,0.0
142,1,0,4,2,1,0,0,0,1,1,3,4,5,11.0,1,1.0384122836116765
143,0,1,4,3,3,0,1,0,1,1,4,5,1,11.5,1,2.1233164900445316
144,0,0,2,2,1,0,1,0,1,1,3,1,2,11.5,1,1.965139668590525
145,0,1,4,4,1,0,1,0,1,1,4,1,1,9.0,0,1.4824465839849927
146,1,0,2,2,2,0,0,0,0,1,4,1,3,10.0,1,0.0
147,0,0,5,5,1,0,0,0,1,1,4,1,1,13.5,1,1.7623497500683765
148,0,0,2,2,1,0,0,0,1,1,5,1,1,8.5,0,1.0384122836116765
149,1,0,5,4,4,1,1,0,0,1,2,1,1,10.0,1,1.7623497500683765
150,0,1,4,4,2,0,0,0,0,1,1,2,3,8.5,0,2.7372718529611384
151,1,0,5,5,3,0,1,0,1,1,5,1,3,14.0,1,0.0
152,1,0,3,3,1,0,1,0,1,1,2,2,2,11.5,1,1.4824465839849927
153,0,0,5,5,3,0,1,0,1,1,4,1,1,13.0,1,1.0384122836116765
154,0,0,2,2,1,0,0,0,0,1,3,3,3,10.5,1,1.4824465839849927
155,1,0,3,2,1,0,1,0,0,1,5,1,2,8.0,0,2.6772712849004376
156,0,0,2,2,2,0,1,0,0,1,4,1,2,12.0,1,0.0
157,0,1,3,2,1,0,1,0,1,0,4,1,1,10.5,1,0.0
158,0,0,4,3,2,0,1,0,0,1,3,1,1,11.0,1,1.0384122836116765
159,0,0,2,3,2,0,1,0,0,1,4,1,1,12.5,1,1.7623497500683765
160,0,0,2,3,2,0,0,0,0,1,2,2,4,11.0,1,1.7623497500683765
161,1,0,5,5,1,0,1,0,0,0,3,2,1,9.0,0,2.4553565766654044
162,1,1,3,2,1,0,0,0,0,1,4,2,5,11.5,1,0.0
163,1,0,2,2,1,0,0,0,0,0,2,2,5,10.0,1,0.0
164,1,0,3,2,1,0,0,0,1,1,4,3,5,9.5,0,1.7623497500683765
165,0,0,4,4,3,0,1,1,1,1,4,2,3,13.0,1,1.0384122836116765
166,1,0,4,3,1,0,1,0,0,0,4,1,1,10.0,1,1.7623497500683765
167,0,0,5,5,1,1,1,0,0,1,4,1,1,13.0,1,0.0
168,1,0,3,4,2,1,0,1,1,1,4,1,1,7.5,0,0.0
169,1,0,2,3,1,0,0,0,0,1,2,3,3,8.5,0,2.3614165159662632
170,0,0,2,2,1,0,1,0,1,1,5,1,5,10.5,1,1.7623497500683765
171,1,0,3,3,1,0,0,0,0,1,4,1,2,11.0,1,1.4824465839849927
172,1,0,4,4,2,0,1,0,0,1,4,4,4,10.0,1,0.0
173,1,0,2,3,1,0,0,0,0,1,4,3,5,8.5,0,0.0
174,1,0,3,2,1,0,0,1,1,0,3,2,2,8.0,0,1.965139668590525
175,1,0,4,3,2,1,1,0,0,1,4,1,4,6.5,0,1.4824465839849927
176,1,0,2,3,1,0,0,0,1,1,4,2,4,8.5,0,1.0384122836116765
177,1,0,2,4,1,0,0,0,0,0,5,1,4,8.5,0,1.0384122836116765
178,1,0,2,2,2,0,0,0,1,0,5,1,5,8.0,0,0.0
179,1,0,4,3,1,0,1,0,1,0,4,1,1,7.5,0,2.1233164900445316
180,1,0,3,3,2,0,0,0,0,0,4,2,4,9.5,0,0.0
181,0,0,5,3,2,0,0,0,0,1,4,1,1,17.0,1,0.0
182,0,0,3,3,2,0,1,0,0,1,5,1,1,12.0,1,0.0
183,0,0,5,5,2,0,1,0,0,1,4,1,1,16.0,1,0.0
184,1,0,4,5,1,0,1,0,1,1,3,2,4,9.0,0,1.4824465839849927
186,1,0,5,5,2,0,1,0,1,1,4,1,3,10.0,1,0.0
187,0,0,2,4,2,0,0,0,1,1,4,1,1,13.5,1,0.0
188,0,0,4,4,2,0,1,0,1,1,4,1,1,14.0,1,0.0
189,1,0,5,4,2,0,0,0,1,1,4,4,4,10.5,1,0.0
190,0,0,3,3,2,0,0,0,1,1,3,1,4,12.5,1,0.0
191,1,0,4,4,2,0,0,0,1,1,4,1,4,10.0,1,1.4824465839849927
192,1,0,5,3,1,0,1,0,1,1,4,3,4,9.5,0,1.965139668590525
193,1,0,5,4,2,0,1,1,1,1,5,1,1,11.0,1,1.4824465839849927
194,1,0,5,4,2,0,1,1,1,1,3,2,3,10.5,1,1.4824465839849927
195,1,0,4,4,2,0,0,0,1,1,4,1,2,11.5,1,0.0
196,0,0,3,5,2,0,1,0,1,1,5,2,3,17.5,1,0.0
198,0,0,4,3,2,0,1,0,0,1,1,1,2,14.5,1,1.965139668590525
199,1,0,4,4,2,0,1,0,1,1,4,2,3,12.0,1,1.7623497500683765
200,1,0,2,3,1,0,1,0,1,1,3,1,2,9.5,0,0.0
201,1,0,3,2,2,0,0,0,1,1,4,1,2,13.5,1,0.0
202,0,1,4,4,2,0,1,0,0,1,3,1,3,12.5,1,2.1233164900445316
203,1,0,2,3,2,0,0,0,0,1,3,1,5,9.0,0,1.7623497500683765
204,0,0,3,4,2,0,0,0,0,1,4,1,1,12.0,1,1.7623497500683765
205,0,0,2,2,2,0,0,0,1,1,5,1,1,11.5,1,0.0
206,1,0,2,3,2,0,0,0,1,1,4,4,5,10.5,1,2.4553565766654044
207,1,0,4,4,1,0,1,0,1,1,4,3,4,10.5,1,0.0
208,1,0,3,4,1,0,0,0,0,1,5,1,1,12.5,1,0.0
209,0,0,3,5,2,0,0,0,1,1,4,1,1,14.5,1,1.965139668590525
210,1,0,5,5,1,0,0,0,0,1,5,1,2,13.0,1,1.4824465839849927
211,1,0,4,4,1,0,1,0,1,1,3,3,5,10.5,1,2.4553565766654044
213,0,0,5,5,2,0,1,0,0,1,4,1,2,10.5,1,0.0
214,0,0,5,4,2,0,1,0,1,1,4,1,5,14.0,1,1.0384122836116765
215,0,0,3,4,2,1,1,0,1,1,4,1,3,11.5,1,1.4824465839849927
216,0,0,2,2,2,0,1,0,0,1,4,1,3,14.5,1,0.0
217,0,0,3,3,1,0,1,0,0,1,5,1,2,13.0,1,2.645071852676323
218,0,0,3,3,4,0,1,0,1,1,5,1,1,13.0,1,1.7623497500683765
219,0,0,4,5,3,0,1,1,0,1,4,3,4,8.5,0,2.3614165159662632
220,0,1,4,2,2,0,1,0,0,1,2,2,2,11.0,1,1.0384122836116765
221,0,0,5,4,2,0,0,0,1,1,1,1,1,14.5,1,1.4824465839849927
222,0,0,2,2,1,0,1,0,0,1,4,1,4,12.5,1,1.0384122836116765
223,0,0,5,4,3,0,1,0,1,1,4,1,1,11.5,1,0.0
224,0,0,4,4,4,0,1,0,1,1,4,1,2,12.0,1,1.4824465839849927
225,1,0,5,5,2,0,1,0,0,1,5,4,5,12.5,1,2.410007384612786
226,0,1,3,3,2,1,1,0,0,1,3,1,1,13.0,1,0.0
227,1,0,3,3,2,0,1,0,1,1,4,2,4,11.5,1,2.1233164900445316
228,0,0,5,5,1,0,1,0,0,1,5,1,2,11.5,1,1.7623497500683765
229,0,0,4,3,2,0,0,0,0,1,4,1,3,15.0,1,1.0384122836116765
230,0,0,5,4,2,0,0,0,0,1,3,2,4,10.0,1,2.4553565766654044
231,1,0,4,4,2,0,1,0,0,1,3,2,4,10.0,1,2.1233164900445316
232,0,0,3,4,1,0,1,0,0,1,3,1,4,12.5,1,1.4824465839849927
233,0,0,3,3,3,0,1,0,1,1,4,1,1,12.0,1,0.0
234,0,0,3,2,2,0,1,0,1,1,4,1,2,10.5,1,0.0
235,0,0,2,2,3,0,1,0,1,1,4,1,1,12.0,1,2.2525107095798247
236,0,0,3,4,2,1,0,0,0,1,2,1,1,13.0,1,0.0
237,1,0,3,3,2,0,1,1,0,1,3,5,5,9.5,0,2.0485989683857877
238,0,0,5,5,3,0,1,0,1,1,5,1,1,15.5,1,1.4824465839849927
239,0,0,4,2,2,0,0,0,1,1,5,1,1,8.0,0,1.4824465839849927
240,0,0,4,3,2,0,0,0,1,1,5,1,3,17.5,1,1.0384122836116765
241,1,0,3,4,2,0,1,0,0,1,5,1,3,10.5,1,0.0
242,1,0,3,2,2,1,1,0,1,1,4,4,5,9.5,0,1.0384122836116765
243,0,1,3,2,3,0,0,0,1,1,3,1,2,15.0,1,0.0
244,0,0,5,4,2,0,0,0,1,1,3,1,2,13.0,1,0.0
245,1,0,3,3,2,0,1,0,1,1,4,1,1,12.5,1,0.0
246,1,0,5,5,2,1,1,0,1,1,4,1,3,13.0,1,0.0
247,1,0,5,5,2,0,1,0,1,1,4,2,4,13.0,1,0.0
248,1,0,2,2,2,0,1,0,0,1,3,1,1,9.0,0,1.0384122836116765
249,1,0,4,3,3,0,0,0,1,1,5,1,3,12.0,1,0.0
250,1,0,3,3,2,0,0,0,1,1,4,5,5,16.0,1,0.0
251,0,0,3,2,1,0,0,0,0,1,4,1,1,9.5,0,1.4824465839849927
252,0,1,5,2,2,0,0,0,1,1,5,1,2,13.5,1,0.0
253,0,1,3,5,2,0,1,0,0,1,4,1,1,10.0,1,2.5378201227855564
254,0,0,3,3,2,0,1,0,0,1,5,1,1,8.5,0,2.4553565766654044
255,0,0,4,4,1,0,0,0,0,0,4,1,1,7.5,0,2.3614165159662632
257,1,0,5,5,1,0,1,0,1,1,4,1,2,9.0,0,1.7623497500683765
258,0,0,4,3,2,0,0,0,1,1,5,1,1,14.0,1,1.4824465839849927
259,0,0,2,2,3,0,1,0,1,1,4,1,2,10.5,1,2.1233164900445316
260,0,0,2,3,1,0,0,0,0,0,5,1,2,11.5,1,1.4824465839849927
261,0,0,3,2,2,0,0,0,1,1,2,1,1,13.0,1,1.0384122836116765
262,0,1,2,5,1,0,1,0,0,1,5,1,1,9.0,0,2.3614165159662632
263,1,0,3,3,2,0,0,0,0,0,5,3,5,7.5,0,2.4553565766654044
264,0,1,3,3,1,0,1,0,0,0,3,1,1,10.0,1,1.965139668590525
265,0,0,2,2,3,0,0,0,1,1,4,1,3,14.5,1,1.4824465839849927
266,0,1,5,3,2,0,1,0,1,1,4,1,1,14.5,1,1.4824465839849927
267,1,0,5,4,2,0,0,0,1,1,2,1,4,15.0,1,1.965139668590525
268,1,1,5,5,2,0,1,0,0,1,3,2,3,12.0,1,0.0
269,1,0,5,4,1,0,0,0,1,1,5,1,1,14.0,1,1.870755564756205
270,1,0,5,5,1,0,0,1,1,1,5,1,2,14.5,1,1.4824465839849927
271,0,0,5,5,2,0,1,1,0,1,5,1,4,11.0,1,1.0384122836116765
272,1,0,2,2,3,0,0,0,0,1,4,1,1,13.5,1,1.0384122836116765
273,0,0,4,4,3,0,1,0,0,1,4,2,3,11.0,1,2.1233164900445316
274,0,0,2,2,2,1,0,0,0,1,4,1,1,9.5,0,2.1233164900445316
275,0,0,3,2,3,0,1,0,0,1,4,1,1,11.0,1,2.1233164900445316
276,1,0,3,2,1,0,0,0,0,1,4,1,1,15.5,1,1.870755564756205
277,0,0,2,2,2,0,1,0,0,1,4,1,2,10.5,1,1.4824465839849927
278,1,0,3,4,1,0,0,0,0,1,5,1,1,10.5,1,1.0384122836116765
279,1,0,4,2,1,0,0,0,0,0,5,5,5,7.5,0,2.2525107095798247
280,1,0,4,4,2,0,1,0,0,1,4,1,3,9.5,0,1.965139668590525
282,1,0,4,3,1,0,0,0,0,0,4,2,4,7.5,0,1.965139668590525
283,1,0,4,4,2,1,1,0,0,1,5,1,3,10.0,1,1.4824465839849927
284,1,0,3,2,1,0,0,0,0,0,3,2,5,7.5,0,1.4824465839849927
285,1,0,3,2,1,0,0,0,1,1,3,1,3,13.5,1,1.0384122836116765
286,1,0,3,2,1,0,0,0,0,1,4,2,4,12.0,1,0.0
287,1,0,2,2,1,0,1,0,1,1,4,1,2,9.5,0,0.0
288,0,1,3,2,2,0,1,0,0,1,4,1,3,12.0,1,1.0384122836116765
289,0,0,5,3,4,0,1,0,1,1,4,1,1,14.5,1,1.0384122836116765
290,0,0,3,3,2,0,1,0,0,1,4,1,1,10.0,1,0.0
291,1,0,3,2,2,0,0,0,1,0,4,4,4,10.5,1,1.4824465839849927
292,0,0,5,3,3,0,1,0,1,1,4,1,3,11.5,1,1.0384122836116765
293,0,0,2,2,3,0,1,0,0,1,4,2,3,11.5,1,1.4824465839849927
294,0,0,3,3,2,1,0,0,0,1,3,1,1,11.0,1,1.4824465839849927
295,1,1,5,4,2,0,1,0,0,1,4,1,1,12.0,1,1.4824465839849927
296,1,0,3,2,2,0,0,0,1,1,5,1,2,16.0,1,1.0384122836116765
297,1,0,3,3,1,0,0,0,0,0,5,1,1,9.5,0,0.0
298,0,0,3,3,4,0,0,0,1,1,3,1,1,10.5,1,1.0384122836116765
299,0,0,3,2,2,0,1,1,1,0,1,1,2,11.0,1,1.965139668590525
300,0,0,5,4,2,0,1,0,0,1,3,1,3,15.0,1,1.0384122836116765
301,1,0,5,4,2,0,1,0,0,1,4,1,1,10.0,1,1.0384122836116765
302,1,0,4,3,3,0,0,0,1,1,5,1,1,10.5,1,1.0384122836116765
303,0,0,4,4,3,0,0,0,1,1,3,1,1,13.5,1,1.0384122836116765
304,0,0,3,3,3,0,1,0,1,1,4,1,1,11.5,1,0.0
305,1,0,3,3,1,0,0,0,0,0,4,2,3,8.0,0,1.965139668590525
306,1,1,4,5,2,0,1,0,1,1,4,3,4,15.5,1,1.7623497500683765
307,1,0,4,2,2,0,0,0,1,1,5,3,4,11.0,1,0.0
308,0,0,5,5,2,0,0,0,1,1,4,2,2,10.5,1,1.965139668590525
309,1,0,5,3,2,0,1,0,1,1,5,1,3,11.0,1,1.4824465839849927
310,0,0,3,2,2,0,1,0,0,0,4,1,2,8.5,0,2.2525107095798247
311,0,0,4,4,2,0,1,0,1,1,4,3,3,11.5,1,2.4553565766654044
312,0,0,3,4,4,0,1,0,1,1,4,1,3,16.0,1,2.1233164900445316
313,0,0,2,2,2,0,1,0,0,1,4,1,1,13.0,1,1.0384122836116765
314,1,0,2,3,2,0,1,0,1,1,3,2,2,16.5,1,1.0384122836116765
315,0,0,3,2,2,0,1,0,0,1,4,1,2,14.0,1,1.965139668590525
