,Gender,Parental_Status,Mother_Education,Father_Education,Weekly_Study_Time,Extra_Educational_Support,Parental_Educational_Support,Private_Tutoring,Extracurricular_Activities,Desire_Graduate_Education,Good_Family_Relationship,Alcohol_Weekdays,Alcohol_Weekends,Average_Grade,Pass_Fail,School_Absence_BoxCox
316,0,0,3,5,2,0,1,0,0,1,4,1,1,15.5,1,1.7623497500683765
317,0,0,3,3,2,1,1,0,0,1,4,2,3,12.0,1,1.7623497500683765
318,0,1,4,3,2,0,0,0,0,0,4,1,1,10.5,1,2.410007384612786
319,1,0,5,5,1,0,0,0,1,1,3,1,4,11.5,1,1.7623497500683765
320,0,0,5,5,2,1,1,0,1,1,2,1,1,13.0,1,1.0384122836116765
321,0,0,3,3,3,0,1,0,0,1,4,1,1,14.0,1,1.965139668590525
322,0,0,4,3,2,1,1,0,0,0,3,4,3,8.5,0,0.0
323,1,0,5,4,1,0,0,0,1,1,4,1,2,10.0,1,0.0
324,1,0,2,3,1,0,0,0,0,0,3,2,4,10.0,1,2.1233164900445316
325,1,1,5,2,1,0,0,0,1,1,4,2,4,11.0,1,2.6772712849004376
326,1,1,4,3,1,0,0,0,0,1,4,3,4,13.0,1,2.5378201227855564
327,0,0,2,2,4,0,1,0,1,1,5,1,1,17.0,1,1.0384122836116765
328,0,0,2,2,2,1,0,0,1,1,5,1,1,12.5,1,0.0
329,0,0,3,3,2,0,1,0,0,1,5,1,2,12.0,1,2.2525107095798247
330,0,0,3,2,2,0,0,0,1,1,4,1,1,12.5,1,2.1233164900445316
331,1,0,2,2,2,0,0,0,0,1,4,1,2,12.0,1,0.0
332,0,0,3,3,3,0,1,0,0,1,4,1,2,18.0,1,0.0
333,0,0,2,2,3,0,1,0,0,1,4,1,1,13.0,1,0.0
334,1,0,3,2,3,0,0,0,1,1,4,1,3,14.5,1,0.0
335,1,1,5,5,2,0,1,0,1,1,5,1,1,17.0,1,0.0
336,1,0,5,3,2,0,1,0,1,1,4,1,4,15.5,1,1.0384122836116765
337,0,0,5,4,3,0,1,0,0,1,4,1,2,17.5,1,0.0
338,0,0,4,2,4,0,1,0,0,1,3,1,1,18.5,1,0.0
339,1,0,4,3,3,0,1,0,1,1,5,1,1,14.5,1,0.0
340,1,0,4,4,1,0,1,0,0,1,4,1,3,14.5,1,0.0
341,0,0,5,5,2,0,1,0,1,1,2,2,3,13.5,1,1.0384122836116765
342,0,0,5,4,2,0,1,0,0,1,4,1,2,13.5,1,0.0
343,0,0,5,4,4,0,1,0,0,1,4,1,1,16.5,1,0.0
344,1,0,5,5,1,0,1,0,0,1,1,2,2,18.0,1,0.0
345,0,1,5,5,2,0,1,1,0,1,4,1,1,14.5,1,0.0
346,1,0,5,5,1,0,0,0,0,1,4,2,2,12.5,1,0.0
347,0,0,5,5,3,0,1,0,1,1,5,1,1,7.0,0,0.0
348,0,0,5,3,3,0,1,0,0,1,4,1,1,16.0,1,0.0
349,0,0,4,3,4,0,1,0,1,1,5,1,2,18.0,1,0.0
350,1,0,3,2,3,0,0,0,1,1,4,1,1,9.5,0,0.0
351,1,1,4,3,1,0,0,0,1,1,5,1,1,14.5,1,0.0
352,1,0,4,4,2,0,0,0,1,1,4,1,2,10.0,1,0.0
353,0,0,2,5,2,1,1,0,0,1,3,1,2,10.0,1,1.0384122836116765
354,0,0,3,2,2,0,1,0,1,1,5,1,2,12.0,1,1.0384122836116765
355,0,0,3,4,2,0,0,0,1,1,4,1,1,11.5,1,1.0384122836116765
356,0,0,5,5,1,0,0,0,1,1,4,1,1,15.5,1,1.0384122836116765
357,0,0,5,4,3,0,1,0,1,1,4,1,1,14.5,1,1.0384122836116765
358,0,0,5,4,1,0,1,0,0,1,3,1,4,12.0,1,1.965139668590525
359,0,0,4,5,3,0,1,0,1,1,4,2,5,15.0,1,1.0384122836116765
360,0,0,4,4,2,0,1,0,0,1,4,1,1,11.5,1,1.965139668590525
361,1,0,5,3,2,0,1,0,1,1,5,1,1,10.5,1,2.0485989683857877
362,0,0,5,5,2,0,1,0,0,1,4,3,3,11.5,1,0.0
363,0,0,4,5,1,0,1,0,1,1,5,1,1,11.5,1,1.4824465839849927
364,0,0,5,5,1,0,0,0,1,1,5,1,2,14.5,1,1.0384122836116765
365,0,1,5,4,2,0,1,0,0,1,5,1,2,14.5,1,2.3614165159662632
366,0,1,4,4,2,1,1,0,0,1,5,1,1,12.0,1,0.0
367,0,0,3,2,2,0,0,0,1,1,4,2,2,11.5,1,1.0384122836116765
368,1,0,5,5,1,0,1,0,0,1,4,3,4,8.5,0,1.0384122836116765
369,0,0,2,2,3,0,0,0,1,0,1,4,3,10.0,1,2.2525107095798247
370,0,1,2,2,2,0,1,0,0,1,5,1,1,8.0,0,1.0384122836116765
371,0,0,3,3,1,0,1,0,1,1,4,2,4,10.0,1,1.0384122836116765
372,0,0,3,3,2,0,1,0,0,1,4,1,1,13.5,1,1.4824465839849927
373,0,0,3,3,3,0,1,0,1,1,3,2,2,11.0,1,0.0
374,0,0,4,2,3,0,1,0,0,1,3,2,3,17.5,1,0.0
376,0,0,2,2,3,0,0,0,1,1,4,1,2,14.0,1,0.0
377,1,0,5,5,3,0,0,0,1,1,4,2,2,13.5,1,0.0
378,1,0,4,4,1,0,0,0,1,1,4,3,5,17.5,1,0.0
379,1,0,3,3,1,0,1,0,0,1,4,5,5,10.5,1,1.0384122836116765
380,0,0,5,5,3,0,1,0,1,1,5,1,3,12.5,1,0.0
381,0,0,5,5,3,0,1,0,0,1,4,1,2,14.5,1,1.4824465839849927
382,0,0,4,4,1,0,1,1,1,1,4,2,5,11.5,1,1.0384122836116765
383,1,0,3,3,4,0,1,1,1,1,4,2,4,11.0,1,0.0
384,1,0,4,3,1,0,1,0,0,1,5,2,2,10.5,1,0.0
385,0,0,3,3,2,0,0,0,1,1,4,1,1,9.5,0,1.0384122836116765
386,0,0,3,5,3,0,1,0,0,1,4,1,1,15.0,1,0.0
387,1,0,3,3,1,0,0,0,0,1,5,1,2,14.5,1,1.7623497500683765
388,0,0,4,4,2,0,0,0,1,1,5,1,1,10.5,1,1.965139668590525
389,0,0,3,3,2,0,0,0,1,1,4,1,1,9.5,0,0.0
390,0,0,3,3,4,0,0,0,1,1,4,1,1,13.5,1,1.7623497500683765
391,0,0,4,5,3,0,0,0,0,1,4,1,3,12.0,1,1.965139668590525
392,0,0,4,3,2,0,1,0,0,1,4,2,3,12.5,1,0.0
393,0,0,4,4,4,0,1,0,0,1,5,1,1,14.0,1,1.4824465839849927
394,0,1,4,3,2,0,1,0,0,1,4,2,3,14.0,1,0.0
395,1,0,5,5,2,0,1,0,1,1,4,2,2,12.0,1,0.0
396,1,0,4,5,2,0,0,0,1,1,4,1,3,16.0,1,1.7623497500683765
397,0,1,3,3,2,0,1,0,0,1,3,1,2,11.0,1,2.5378201227855564
398,0,0,3,4,3,0,1,0,0,1,4,1,2,11.5,1,0.0
399,0,0,4,3,3,0,0,0,0,1,5,2,3,15.0,1,1.4824465839849927
400,1,0,5,4,3,0,0,0,0,1,5,1,2,14.5,1,1.4824465839849927
401,1,0,5,4,3,0,1,0,0,1,5,2,3,13.5,1,0.0
402,0,0,5,4,3,0,1,0,1,1,4,1,3,11.5,1,0.0
403,0,0,3,2,2,0,1,0,1,1,4,2,2,13.5,1,2.1233164900445316
404,0,0,3,2,2,0,1,0,1,1,4,2,4,14.0,1,1.4824465839849927
405,0,1,3,4,1,0,0,0,0,0,2,3,4,10.5,1,2.4553565766654044
406,0,0,4,2,1,0,1,1,0,1,4,1,1,11.5,1,1.7623497500683765
407,0,0,5,5,3,0,0,1,1,1,3,1,1,10.5,1,0.0
408,1,0,3,3,2,0,1,0,1,0,4,1,3,10.0,1,2.1908871747183216
409,1,1,4,5,2,0,0,0,1,1,4,1,4,13.5,1,2.0485989683857877
410,0,0,3,3,2,0,1,0,1,1,4,1,3,15.0,1,0.0
411,1,1,5,5,3,0,1,0,0,1,4,1,2,13.5,1,1.0384122836116765
412,0,0,5,3,2,0,1,0,1,1,4,1,1,15.5,1,0.0
413,1,0,2,2,2,0,1,0,1,0,5,5,2,9.5,0,2.645071852676323
414,0,0,2,2,3,0,0,0,0,1,3,1,3,13.0,1,1.965139668590525
415,0,0,5,5,1,0,1,0,0,1,3,4,4,9.5,0,1.6353256700714858
416,1,1,4,3,2,0,1,0,0,1,4,1,2,17.0,1,2.1233164900445316
417,0,0,4,3,3,0,1,0,0,1,4,1,2,15.5,1,1.6353256700714858
418,1,0,3,4,1,0,0,0,0,1,3,4,5,13.5,1,2.3091115111299905
419,1,0,3,2,1,0,0,0,0,1,5,1,4,9.0,0,2.1233164900445316
420,0,1,3,3,2,0,1,0,0,1,4,1,3,15.5,1,2.1233164900445316
422,0,0,4,3,2,0,1,0,1,1,3,1,2,11.5,1,1.4824465839849927
423,0,0,2,4,1,0,1,0,0,0,4,1,3,10.5,1,2.1908871747183216
424,0,0,3,3,2,0,1,0,1,1,4,1,1,12.0,1,0.0
425,0,0,2,2,1,0,1,0,0,1,4,1,1,10.0,1,1.7623497500683765
426,0,0,4,4,1,0,1,0,0,1,5,2,3,10.0,1,1.4824465839849927
427,0,0,3,4,2,0,0,0,0,1,4,1,2,16.5,1,0.0
428,0,0,3,2,1,0,0,0,0,0,1,1,1,7.0,0,0.0
429,1,1,5,5,2,0,1,0,0,1,5,1,3,10.5,1,1.6353256700714858
430,1,1,2,3,3,1,0,0,0,1,4,1,1,10.5,1,0.0
431,0,0,4,3,2,0,0,0,0,1,4,1,2,10.0,1,0.0
432,0,0,2,2,1,0,1,0,0,0,5,2,2,6.0,0,0.0
433,0,0,5,5,1,0,0,0,0,1,1,3,5,13.5,1,0.0
434,0,1,3,3,4,0,0,0,1,0,1,1,1,9.5,0,1.4824465839849927
435,0,0,2,2,2,0,1,0,0,1,5,1,2,10.0,1,0.0
436,0,0,2,2,1,0,1,0,0,1,4,1,2,6.5,0,1.4824465839849927
438,0,0,3,4,1,0,1,0,0,1,5,1,3,10.5,1,1.0384122836116765
439,0,0,4,4,1,0,0,0,0,1,4,1,1,15.0,1,0.0
440,1,0,2,2,2,0,1,0,1,1,5,4,5,3.5,0,0.0
441,1,0,2,2,2,0,0,1,0,1,4,2,4,8.5,0,1.4824465839849927
442,1,0,5,2,2,0,1,0,1,1,5,1,2,12.5,1,0.0
443,1,0,5,2,2,0,1,0,1,1,5,1,2,8.0,0,1.870755564756205
444,1,0,4,5,2,0,0,0,0,1,3,1,2,9.5,0,1.4824465839849927
445,1,0,2,2,2,0,1,0,1,1,5,2,4,8.0,0,1.965139668590525
446,1,0,4,4,2,0,1,0,1,1,5,1,1,11.0,1,0.0
447,1,0,3,2,1,0,0,0,1,0,5,5,5,9.0,0,1.965139668590525
448,0,0,5,5,3,0,0,0,1,1,4,1,1,16.0,1,1.7623497500683765
449,0,0,2,3,1,0,0,0,0,1,5,1,1,12.0,1,1.291365835171132
450,0,0,3,4,2,0,1,0,0,1,4,1,2,15.0,1,1.0384122836116765
451,1,0,2,3,2,0,0,0,0,1,4,1,1,10.5,1,0.0
452,0,0,3,3,2,0,1,0,0,1,4,1,1,9.5,0,1.4824465839849927
453,0,0,2,3,3,0,1,0,0,1,1,1,2,9.0,0,0.0
454,0,0,2,3,3,0,1,0,0,1,1,1,2,8.5,0,1.291365835171132
455,0,0,3,2,2,1,1,0,0,1,4,3,3,9.5,0,0.0
456,0,0,2,2,2,0,1,0,0,1,5,2,1,13.5,1,0.0
457,1,0,2,3,1,0,1,0,1,1,5,5,5,10.5,1,1.4824465839849927
458,0,0,2,2,4,0,1,0,0,1,4,1,1,11.5,1,0.0
459,0,0,2,2,3,1,1,0,0,1,4,1,1,9.5,0,1.0384122836116765
460,0,0,2,2,2,0,1,0,1,1,4,1,1,10.5,1,0.6688506272707769
461,0,0,2,2,1,0,0,0,1,1,4,4,3,12.5,1,0.0
462,0,0,2,2,2,0,1,0,0,1,4,1,2,13.5,1,0.0
463,0,0,3,3,3,1,1,0,0,1,4,2,2,12.5,1,1.0384122836116765
464,1,0,2,2,1,0,0,0,1,1,3,3,4,11.0,1,1.7623497500683765
465,0,0,2,3,2,0,1,0,1,1,3,2,3,8.5,0,2.0485989683857877
466,1,0,4,2,1,0,1,0,0,1,3,1,3,9.5,0,0.0
467,0,0,3,3,2,0,1,0,1,1,5,1,1,13.5,1,0.6688506272707769
468,1,0,3,3,1,0,0,0,0,1,4,1,2,12.5,1,0.6688506272707769
469,1,0,5,5,2,0,1,0,1,1,4,1,1,12.5,1,0.0
470,0,0,4,4,2,0,1,0,0,1,4,1,1,12.5,1,1.4824465839849927
471,0,0,3,3,2,0,1,0,1,1,4,2,3,11.5,1,1.0384122836116765
472,0,0,3,3,1,0,1,0,1,1,4,1,1,14.0,1,0.0
473,1,0,3,2,1,0,1,0,1,1,2,2,3,9.0,0,1.4824465839849927
474,1,0,2,4,1,0,1,0,1,1,4,3,5,10.5,1,1.0384122836116765
475,0,0,3,3,3,0,1,0,1,1,5,1,1,12.5,1,0.0
476,0,0,3,2,1,0,1,0,0,1,5,1,1,9.0,0,1.0384122836116765
477,1,0,4,4,1,0,1,0,1,1,4,2,4,11.0,1,2.1908871747183216
478,0,0,2,2,2,1,1,0,0,1,3,1,1,7.0,0,0.0
479,0,0,3,3,1,0,1,0,1,0,4,1,1,9.0,0,1.4824465839849927
480,0,0,3,4,1,0,0,0,0,0,4,1,1,9.0,0,0.0
481,0,0,3,2,1,0,1,0,1,0,5,1,1,9.5,0,1.0384122836116765
482,0,0,2,2,1,0,1,0,0,0,5,1,3,9.5,0,0.0
483,0,0,3,3,2,0,1,0,0,0,3,1,2,9.5,0,0.6688506272707769
484,0,1,3,3,1,0,1,0,0,0,4,1,2,7.0,0,1.7623497500683765
485,0,0,3,3,2,0,1,0,0,1,4,1,2,10.5,1,0.0
486,0,0,3,3,1,0,1,1,1,1,4,1,4,9.5,0,0.6688506272707769
487,0,1,4,3,3,0,1,0,0,0,3,1,1,8.0,0,1.7623497500683765
488,0,0,2,2,3,0,0,0,1,0,5,1,1,8.0,0,1.7623497500683765
489,1,0,2,2,1,0,0,0,1,0,4,3,4,8.5,0,0.0
490,0,0,2,2,1,0,0,0,0,0,3,1,1,10.0,1,1.4824465839849927
491,0,0,2,2,2,0,1,0,0,1,1,4,1,7.5,0,2.2525107095798247
492,0,1,3,3,2,0,0,0,0,1,3,1,1,9.0,0,1.0384122836116765
494,0,0,2,3,2,0,0,0,1,0,4,1,3,8.5,0,0.0
495,0,0,4,4,1,0,0,0,1,0,4,1,1,13.5,1,0.0
496,0,0,2,2,1,0,1,0,1,1,4,2,2,14.0,1,1.0384122836116765
497,1,0,4,4,4,0,1,1,1,1,5,3,4,10.5,1,0.0
498,0,0,3,2,2,0,1,0,1,1,5,1,1,13.5,1,0.0
499,0,0,3,3,1,0,1,1,1,1,4,1,2,16.5,1,0.0
500,1,0,2,3,1,0,1,0,1,0,5,5,5,6.5,0,2.2525107095798247
501,1,0,5,4,1,0,0,0,1,1,4,1,5,13.0,1,1.965139668590525
502,1,0,3,3,4,0,1,0,0,1,1,3,5,9.0,0,1.0384122836116765
503,0,0,2,2,4,1,1,0,1,1,2,1,1,14.0,1,0.0
504,0,0,3,3,3,0,0,0,0,1,5,1,1,12.5,1,0.0
505,0,0,2,2,1,0,1,0,1,1,4,1,2,11.0,1,0.0
506,0,0,4,4,2,0,0,0,1,1,3,2,4,10.0,1,1.965139668590525
507,0,0,2,2,3,0,1,0,0,1,4,1,1,11.0,1,0.0
508,1,0,3,3,1,0,1,0,0,1,4,1,2,9.5,0,0.0
509,0,0,2,2,2,0,1,0,0,1,5,1,1,16.5,1,0.0
510,0,0,3,3,2,0,1,0,1,1,5,1,1,16.0,1,0.0
512,0,0,2,2,2,0,1,0,0,1,4,1,1,7.0,0,2.0485989683857877
513,0,0,4,2,1,0,0,0,1,1,3,1,3,7.0,0,0.0
514,0,0,4,3,1,0,0,0,0,1,3,1,4,6.5,0,1.0384122836116765
515,0,0,2,2,2,1,0,0,0,1,2,1,4,8.5,0,1.965139668590525
516,0,0,5,5,2,0,0,0,1,1,4,2,3,15.0,1,0.0
517,0,0,2,3,1,0,0,0,1,1,5,1,4,14.0,1,0.0
518,0,1,3,5,2,0,1,0,0,1,2,1,3,6.5,0,1.965139668590525
519,1,0,3,2,2,0,0,0,1,1,5,1,1,7.5,0,0.0
520,0,0,2,2,2,0,1,0,0,1,4,1,3,7.0,0,1.7623497500683765
521,0,0,3,4,2,0,1,0,1,1,3,1,1,9.0,0,0.0
522,0,0,5,5,2,0,1,0,0,1,4,1,2,8.0,0,1.4824465839849927
523,1,0,5,5,4,0,1,0,1,0,5,5,5,5.5,0,1.0384122836116765
524,0,0,4,5,2,0,1,0,0,1,4,1,1,8.0,0,1.0384122836116765
525,1,0,5,5,3,0,1,0,0,1,4,1,2,14.5,1,0.0
526,0,0,5,2,1,0,0,0,0,1,4,1,2,13.5,1,0.6688506272707769
527,1,0,3,3,3,0,0,0,0,1,5,2,2,9.5,0,0.0
528,0,0,3,3,1,0,1,1,0,1,5,1,2,9.0,0,1.6353256700714858
529,0,0,5,5,1,0,1,0,0,1,5,1,2,11.0,1,0.6688506272707769
530,1,0,4,4,1,0,1,0,1,1,4,5,5,8.5,0,1.965139668590525
531,1,0,2,2,2,0,0,0,0,1,5,3,3,10.0,1,0.0
532,1,0,3,2,2,0,0,0,0,1,4,1,4,8.0,0,1.0384122836116765
533,0,0,3,2,2,0,0,0,0,1,3,1,1,14.5,1,0.0
534,1,0,5,5,1,0,1,0,0,1,4,2,5,11.5,1,0.0
535,1,0,2,3,2,0,1,0,1,1,5,1,3,10.0,1,2.1908871747183216
536,1,1,3,3,4,0,1,0,1,1,5,2,3,13.5,1,1.965139668590525
537,1,1,3,2,1,0,0,0,1,1,4,1,2,12.5,1,2.1908871747183216
538,0,0,3,3,3,0,1,0,0,1,4,2,2,11.0,1,1.0384122836116765
539,0,0,5,2,2,0,1,0,1,1,1,2,2,9.5,0,1.965139668590525
540,0,0,4,3,1,0,0,0,0,1,4,2,2,10.0,1,1.6353256700714858
541,0,0,3,3,2,1,0,1,0,1,5,1,1,10.0,1,0.0
542,0,0,5,5,3,0,1,0,0,1,5,1,4,10.5,1,0.6688506272707769
543,1,0,5,5,1,0,0,0,1,1,3,1,3,9.0,0,1.0384122836116765
544,1,0,2,4,1,0,0,0,1,1,5,3,3,11.5,1,1.0384122836116765
545,1,0,4,5,2,0,1,0,1,1,5,3,4,8.5,0,1.965139668590525
546,0,0,5,5,2,0,1,0,0,1,5,1,1,14.0,1,0.0
547,1,0,5,2,1,0,0,0,0,1,4,2,1,10.5,1,0.0
548,0,1,2,2,2,0,0,0,1,1,4,1,2,10.5,1,1.0384122836116765
549,0,0,5,3,2,1,1,0,0,1,4,2,3,17.5,1,0.0
550,1,1,3,3,2,0,1,0,0,1,4,2,2,12.5,1,0.0
551,1,0,4,3,2,0,1,1,0,1,4,2,2,13.5,1,0.0
552,1,0,2,2,2,0,1,0,1,0,4,3,4,9.0,0,1.0384122836116765
554,0,0,2,2,1,0,1,0,1,0,3,2,2,10.5,1,1.291365835171132
555,0,0,2,3,3,1,1,0,0,1,4,1,1,13.5,1,1.6353256700714858
556,1,0,2,3,1,0,0,0,0,1,4,2,4,9.5,0,1.4824465839849927
557,0,0,4,2,2,0,1,0,1,1,5,1,1,8.0,0,1.0384122836116765
558,1,0,3,3,1,0,0,0,1,0,5,3,5,10.5,1,0.0
560,1,0,2,2,1,0,1,0,1,1,4,1,3,9.5,0,0.0
561,1,0,2,2,2,0,1,0,1,1,4,1,4,9.5,0,1.7623497500683765
562,0,0,3,3,2,0,0,0,1,1,5,1,1,12.0,1,0.0
563,1,0,3,3,1,0,0,0,1,1,1,2,3,3.5,0,0.0
564,1,0,4,3,1,0,0,0,0,1,4,2,3,10.0,1,1.0384122836116765
565,1,0,2,2,1,0,0,0,1,1,4,2,4,10.0,1,0.0
566,1,0,2,2,1,0,1,0,0,0,5,2,3,8.0,0,1.0384122836116765
567,1,0,4,3,1,0,0,0,0,0,2,2,2,2.0,0,0.0
568,1,0,4,3,1,0,0,0,1,1,3,1,1,8.5,0,1.4824465839849927
569,1,0,4,4,2,0,1,0,1,0,4,1,3,6.0,0,2.0485989683857877
570,1,0,3,3,1,0,1,0,1,1,5,2,4,7.5,0,1.7623497500683765
571,1,0,3,2,1,0,0,0,1,0,4,1,3,8.5,0,1.4824465839849927
572,0,1,4,3,2,0,1,0,1,1,2,1,1,5.0,0,1.965139668590525
573,0,0,2,2,1,0,1,0,1,1,4,1,2,8.0,0,2.0485989683857877
574,1,0,2,2,1,0,1,0,0,0,4,2,4,9.5,0,2.2525107095798247
575,0,1,5,4,1,0,1,0,0,1,5,3,4,10.5,1,1.965139668590525
576,1,0,4,3,1,0,1,0,0,1,2,5,5,9.5,0,1.965139668590525
577,1,0,2,2,2,0,0,0,0,1,5,3,3,9.5,0,1.965139668590525
578,1,0,4,4,2,0,1,0,0,1,4,2,3,8.5,0,1.4824465839849927
579,1,0,2,4,1,0,0,0,0,0,4,2,3,9.5,0,0.0
580,1,0,2,2,1,0,1,0,0,1,4,3,3,8.5,0,1.4824465839849927
581,0,1,2,3,2,0,1,0,0,1,4,1,1,7.0,0,1.0384122836116765
582,0,1,2,2,1,0,1,0,0,0,1,1,1,7.0,0,0.0
583,0,0,3,3,1,0,0,0,0,0,5,1,1,7.0,0,0.0
585,0,1,4,2,3,0,1,1,0,0,4,2,2,7.5,0,1.6353256700714858
586,0,0,5,3,2,1,1,0,1,1,5,1,3,8.0,0,0.0
587,0,0,3,3,2,0,1,0,1,1,2,1,2,6.5,0,1.291365835171132
588,0,0,5,2,1,0,1,0,0,1,3,1,1,9.0,0,0.0
589,0,0,2,3,1,0,0,0,0,1,5,1,1,8.5,0,0.0
590,0,0,2,2,2,0,0,0,1,1,3,2,2,7.5,0,1.291365835171132
591,0,0,3,3,2,0,0,0,1,1,4,1,1,12.5,1,1.0384122836116765
592,0,0,4,4,1,0,1,0,0,1,4,1,1,11.5,1,0.0
593,0,1,2,3,2,0,0,0,0,1,4,1,2,12.5,1,0.0
594,0,0,5,5,2,0,0,0,1,1,4,1,2,18.0,1,0.0
595,1,0,5,5,1,0,1,0,1,1,5,1,1,17.0,1,1.291365835171132
596,0,0,5,3,2,0,1,0,0,1,4,1,2,17.5,1,0.0
597,0,0,3,3,2,0,0,0,1,1,4,1,1,4.5,0,0.0
598,1,0,2,3,1,0,1,0,0,1,4,5,5,10.5,1,1.965139668590525
599,1,0,5,5,1,0,1,1,1,1,2,1,1,12.5,1,1.6353256700714858
600,1,0,2,2,1,0,0,0,0,0,4,3,4,12.5,1,1.4824465839849927
601,0,0,3,3,2,0,1,0,0,1,1,1,1,8.0,0,1.4824465839849927
602,0,0,3,3,3,0,0,0,0,1,5,1,4,11.5,1,0.0
603,0,1,5,3,2,0,0,0,1,1,5,1,1,2.5,0,0.0
604,0,0,2,2,2,0,0,0,0,0,4,1,2,9.5,0,1.0384122836116765
605,0,0,2,2,1,0,0,0,0,0,5,2,3,2.5,0,0.0
606,0,0,5,3,4,0,0,0,0,1,4,3,1,18.0,1,0.0
607,0,1,3,2,2,0,0,0,1,1,5,1,2,11.0,1,1.6353256700714858
608,0,1,2,2,2,0,0,0,0,1,5,1,2,9.0,0,1.0384122836116765
609,0,0,2,3,2,0,1,0,0,0,4,1,1,11.0,1,0.0
610,0,1,2,2,2,0,1,0,1,0,3,1,4,4.0,0,0.0
611,0,0,3,3,3,0,0,0,0,1,4,1,1,14.0,1,1.6353256700714858
612,1,0,5,4,2,0,1,1,1,1,4,1,3,10.5,1,1.4824465839849927
613,0,0,4,4,2,0,1,0,0,1,5,1,1,10.0,1,0.0
614,0,0,5,5,2,0,1,1,1,1,4,1,2,12.0,1,1.0384122836116765
615,0,1,4,3,2,0,0,0,0,1,1,1,2,14.5,1,0.0
616,1,0,2,2,1,0,0,0,0,1,3,1,2,13.5,1,1.0384122836116765
617,0,0,2,2,3,0,0,0,0,1,5,1,1,18.0,1,0.0
618,0,1,2,3,2,0,0,0,0,1,4,1,4,15.5,1,0.0
619,0,0,4,4,2,0,1,0,0,1,4,1,3,12.5,1,1.7623497500683765
620,0,0,5,5,2,0,1,0,1,1,2,1,1,14.5,1,1.4824465839849927
621,0,0,2,3,2,0,0,0,0,1,3,1,2,13.0,1,0.0
622,1,0,2,4,2,0,1,1,0,1,3,2,4,9.0,0,0.0
623,1,0,5,5,3,0,0,0,0,1,4,2,2,15.5,1,0.0
624,0,0,2,2,1,0,1,0,0,1,5,1,2,8.0,0,0.0
625,0,0,3,4,1,0,1,0,0,1,5,1,2,10.0,1,0.0
626,0,0,5,5,2,0,1,0,0,1,3,4,2,6.0,0,0.0
627,1,0,2,3,1,0,1,0,1,0,4,2,3,9.5,0,1.291365835171132
628,0,0,3,3,3,0,0,0,1,1,3,1,1,10.5,1,1.965139668590525
629,0,0,2,3,1,0,0,0,1,1,3,1,3,7.5,0,1.4824465839849927
630,0,0,5,5,3,0,0,0,0,1,5,1,1,16.0,1,0.0
631,0,0,2,2,3,0,0,0,0,1,4,1,2,10.5,1,1.4824465839849927
632,0,0,2,2,2,0,1,0,0,1,4,1,1,7.5,0,1.4824465839849927
633,0,0,5,5,2,0,0,0,1,1,5,3,4,13.5,1,0.6688506272707769
634,0,0,4,4,2,0,0,0,0,1,4,1,2,16.0,1,0.6688506272707769
635,0,0,4,2,2,0,1,0,1,1,4,2,3,8.5,0,2.1233164900445316
636,1,0,5,5,2,0,0,0,1,1,3,1,4,17.5,1,1.4824465839849927
637,1,0,3,2,1,0,0,0,1,1,4,1,3,7.0,0,0.0
638,1,0,3,4,2,0,0,0,1,1,4,1,1,14.5,1,1.4824465839849927
639,1,0,2,2,1,0,0,0,0,1,4,1,3,6.5,0,0.0
640,1,0,5,3,1,0,0,1,0,1,5,4,3,7.0,0,0.0
641,0,0,3,3,3,0,0,0,0,1,5,1,3,15.5,1,0.0
642,0,0,5,4,2,0,0,0,0,1,5,1,1,7.5,0,0.0
643,0,0,5,5,1,0,1,0,1,1,4,2,2,8.0,0,1.4824465839849927
644,0,0,3,4,3,0,0,0,1,1,5,1,2,10.5,1,1.4824465839849927
645,0,0,4,2,2,0,1,0,0,1,4,1,1,15.0,1,1.4824465839849927
646,0,0,2,2,2,0,0,0,1,1,1,1,1,11.5,1,1.7623497500683765
647,1,0,4,2,1,0,0,0,0,1,2,3,4,10.0,1,1.7623497500683765
648,1,0,4,3,1,0,0,0,0,1,4,3,4,10.5,1,1.4824465839849927
